Journal Title,JIF,JIF5Years
CUADERNOS DE HISTORIA MODERNA,0.2,0.2
CUADERNOS DE ILUSTRACION Y ROMANTICISMO,0.1,0.1
CUADERNOS DE INVESTIGACION GEOGRAFICA,1.5,1.4
CUADERNOS DE LINGUISTICA HISPANICA,0.1,0.2
CUADERNOS DE LITERATURA,0.2,0.1
CUADERNOS DE LITERATURA DEL CARIBE E HISPANOAMERICA,<0.1,<0.1
CUADERNOS DE MUSICA ARTES VISUALES Y ARTES ESCENICAS,0.3,0.2
CUADERNOS DE NEUROPSICOLOGIA-PANAMERICAN JOURNAL OF NEUROPSYCHOLOGY,0.3,0.3
CUADERNOS DE PREHISTORIA Y ARQUEOLOGIA-UNIVERSIDAD AUTONOMA DE MADRID,0.5,0.7
CUADERNOS DE PROYECTOS ARQUITECTONICOS,0.1,0.1
CUADERNOS DE RELACIONES LABORALES,0.5,0.6
CUADERNOS DE RUSISTICA ESPANOLA,0.1,0.1
CUADERNOS DE TRABAJO SOCIAL,0.4,0.5
CUADERNOS DE TURISMO,1,0.9
CUADERNOS DE VIVIENDA Y URBANISMO,0.4,0.3
CUADERNOS DEL CIMBAGE,0.1,0.1
CUADERNOS DEL CLAEH-CENTRO LATINOAMERICANO DE ECONOMIA HUMANA,0.1,0.1
CUADERNOS ELECTRONICOS DE FILOSOFIA DEL DERECHO,0.2,0.1
CUADERNOS EUROPEOS DE DEUSTO,0.2,0.2
CUADERNOS GEOGRAFICOS,1.1,1
CUADERNOS HISPANOAMERICANOS,0.1,0.1
CUADERNOS INFO,0.7,0.8
CUADERNOS INTER C A MBIO SOBRE CENTROAMERICA Y EL CARIBE,0.1,0.1
CUADERNOS LIRICO,0.1,0.1
CUAJ-CANADIAN UROLOGICAL ASSOCIATION JOURNAL,1.9,1.7
CUATERNARIO Y GEOMORFOLOGIA,0.5,0.4
CUBO-A MATHEMATICAL JOURNAL,0.6,N/A
CUESTIONES DE FILOSOFIA,0.1,0.3
CUESTIONES DE SOCIOLOGIA,0.1,0.1
CUHSO-CULTURA-HOMBRE-SOCIEDAD,0.3,0.4
CUKUROVA MEDICAL JOURNAL,0.3,0.3
CUKUROVA UNIVERSITY FACULTY OF EDUCATION JOURNAL,0.4,0.4
CULTURA CIENCIA Y DEPORTE,1.1,1.2
CULTURA CIENTIFICA,0.1,0.1
CULTURA DE LOS CUIDADOS,0.2,0.2
CULTURA LENGUAJE Y REPRESENTACION-REVISTA DE ESTUDIOS CULTURALES DE LA UNIVERSITAT JAUME I,1,0.6
CULTURA Y DROGA,0.1,0.1
CULTURA Y RELIGION,0.3,0.3
CULTURA-INTERNATIONAL JOURNAL OF PHILOSOPHY OF CULTURE AND AXIOLOGY,0.1,0.2
CULTURAL and SOCIAL HISTORY,0.5,0.7
CULTURAL ANTHROPOLOGY,1.9,3.3
CULTURAL CRITIQUE,0.2,0.2
CULTURAL DIVERSITY and ETHNIC MINORITY PSYCHOLOGY,3.2,3.8
CULTURAL DYNAMICS,0.5,0.8
CULTURAL GEOGRAPHIES,1.6,1.9
CULTURAL HISTORY,0.2,0.5
CULTURAL SOCIOLOGY,1.4,2
CULTURAL STUDIES,1.6,1.8
CULTURAL STUDIES OF SCIENCE EDUCATION,1.3,1.5
CULTURAL STUDIES-CRITICAL METHODOLOGIES,0.9,1
CULTURAL TRENDS,1.7,2.1
CULTURALES,0.5,0.2
CULTURA-RIVISTA DI FILOSOFIA LETTERATURA STORIA,<0.1,<0.1
CULTURE and HISTORY DIGITAL JOURNAL,0.4,0.3
CULTURE and PSYCHOLOGY,1,1.3
CULTURE AGRICULTURE FOOD AND ENVIRONMENT,1.3,1.2
CULTURE AND DIALOGUE,0.3,N/A
CULTURE AND EDUCATION,1.1,1.3
CULTURE AND ORGANIZATION,1.2,1.9
CULTURE AND RELIGION,0.3,0.7
CULTURE ET MUSEES,0.2,0.1
CULTURE HEALTH and SEXUALITY,1.8,2.1
CULTURE MEDICINE AND PSYCHIATRY,1.5,1.9
CULTURE THEORY AND CRITIQUE,0.7,1
CUMHURIYET ILAHIYAT DERGISI-CUMHURIYET THEOLOGY JOURNAL,0.2,0.1
CURATOR-THE MUSEUM JOURNAL,1,1.2
CUREUS JOURNAL OF MEDICAL SCIENCE,1,1.1
CURRENT ADDICTION REPORTS,4.1,N/A
CURRENT ALLERGY and CLINICAL IMMUNOLOGY,0.2,0.2
CURRENT ALLERGY AND ASTHMA REPORTS,5.4,5
CURRENT ALZHEIMER RESEARCH,1.8,2.9
CURRENT ANALYTICAL CHEMISTRY,1.7,1.5
CURRENT ANESTHESIOLOGY REPORTS,1.6,N/A
CURRENT ANTHROPOLOGY,2.1,3.1
CURRENT APPLIED PHYSICS,2.4,2.2
CURRENT ATHEROSCLEROSIS REPORTS,5.7,5.3
CURRENT BEHAVIORAL NEUROSCIENCE REPORTS,2.1,N/A
CURRENT BIOINFORMATICS,2.4,1.8
CURRENT BIOLOGY,8.1,9.8
CURRENT BLADDER DYSFUNCTION REPORTS,0.2,0.4
CURRENT BREAST CANCER REPORTS,1,1.1
CURRENT CANCER DRUG TARGETS,2.3,3.1
CURRENT CANCER THERAPY REVIEWS,0.4,0.5
CURRENT CARDIOLOGY REPORTS,3.1,3.3
CURRENT CARDIOLOGY REVIEWS,2.4,3.1
CURRENT CARDIOVASCULAR IMAGING REPORTS,0.6,0.6
CURRENT CARDIOVASCULAR RISK REPORTS,2,1.3
CURRENT CLIMATE CHANGE REPORTS,9.3,15
CURRENT CLINICAL MICROBIOLOGY REPORTS,3.1,3.5
CURRENT COMPUTER-AIDED DRUG DESIGN,1.5,1.5
CURRENT DERMATOLOGY REPORTS,2.4,2.3
CURRENT DEVELOPMENTAL DISORDERS REPORTS,2.2,N/A
CURRENT DEVELOPMENTS IN NUTRITION,3.8,4.3
CURRENT DIABETES REPORTS,5.2,5.8
CURRENT DIABETES REVIEWS,2.4,2.8
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,7.4,8.8
CURRENT DRUG DELIVERY,2.8,2.8
CURRENT DRUG METABOLISM,2.1,2.9
CURRENT DRUG SAFETY,1.1,1.5
CURRENT DRUG TARGETS,3,3.3
CURRENT DRUG THERAPY,0.3,0.6
CURRENT EMERGENCY AND HOSPITAL MEDICINE REPORTS,1.4,0.9
CURRENT ENVIRONMENTAL HEALTH REPORTS,7.4,9.7
CURRENT EPIDEMIOLOGY REPORTS,3,4.2
CURRENT EYE RESEARCH,1.7,2.2
CURRENT FORESTRY REPORTS,9,11.4
CURRENT FUNGAL INFECTION REPORTS,2.3,1.8
CURRENT GENE THERAPY,3.8,3.2
CURRENT GENETIC MEDICINE REPORTS,1.4,1.9
CURRENT GENETICS,1.8,2.1
CURRENT GENOMICS,1.8,2.4
CURRENT GERIATRICS REPORTS,1.1,1.5
CURRENT GREEN CHEMISTRY,1.1,1.9
CURRENT HEART FAILURE REPORTS,3.8,N/A
CURRENT HEMATOLOGIC MALIGNANCY REPORTS,2.7,3
CURRENT HERPETOLOGY,0.6,0.5
CURRENT HISTORY,2.4,1.3
CURRENT HIV RESEARCH,0.8,1
CURRENT HIV/AIDS REPORTS,3.7,5.1
CURRENT HYPERTENSION REPORTS,3.9,5.4
CURRENT HYPERTENSION REVIEWS,1.5,2.5
CURRENT INFECTIOUS DISEASE REPORTS,3.1,3.5
CURRENT ISSUES IN AUDITING,0.8,1.4
CURRENT ISSUES IN CRIMINAL JUSTICE,1.2,1.4
CURRENT ISSUES IN LANGUAGE PLANNING,1.7,1.7
CURRENT ISSUES IN MOLECULAR BIOLOGY,2.8,2.9
CURRENT ISSUES IN PERSONALITY PSYCHOLOGY,1,1
CURRENT ISSUES IN PHARMACY AND MEDICAL SCIENCES,0.4,0.4
CURRENT ISSUES IN TOURISM,5.7,6.7
CURRENT JOURNAL OF NEUROLOGY,0.5,0.6
CURRENT LEGAL PROBLEMS,1.4,1.7
CURRENT MEDICAL IMAGING,1.1,1
CURRENT MEDICAL RESEARCH AND OPINION,2.4,2.5
CURRENT MEDICAL SCIENCE,2,2.1
CURRENT MEDICINAL CHEMISTRY,3.5,4
CURRENT MICROBIOLOGY,2.3,2.4
CURRENT MICROWAVE CHEMISTRY,0.9,1.2
CURRENT MOLECULAR MEDICINE,2.2,2.1
CURRENT MOLECULAR PHARMACOLOGY,2.4,2.8
CURRENT NANOSCIENCE,1.4,1.3
CURRENT NEUROLOGY AND NEUROSCIENCE REPORTS,4.8,6
CURRENT NEUROPHARMACOLOGY,4.8,7.1
CURRENT NEUROVASCULAR RESEARCH,2,2
CURRENT NUTRITION and FOOD SCIENCE,0.8,0.8
CURRENT NUTRITION REPORTS,4.6,N/A
CURRENT OBESITY REPORTS,9.5,10.9
CURRENT OBSTETRICS AND GYNECOLOGY REPORTS,0.7,0.8
CURRENT ONCOLOGY,2.8,2.9
CURRENT ONCOLOGY REPORTS,4.7,5
CURRENT OPHTHALMOLOGY REPORTS,0.9,N/A
CURRENT OPINION IN ALLERGY AND CLINICAL IMMUNOLOGY,3,2.9
CURRENT OPINION IN ANESTHESIOLOGY,2.3,2.8
CURRENT OPINION IN BEHAVIORAL SCIENCES,4.9,5.2
CURRENT OPINION IN BIOMEDICAL ENGINEERING,4.7,4.2
CURRENT OPINION IN BIOTECHNOLOGY,7.1,8.2
CURRENT OPINION IN CARDIOLOGY,2,2
CURRENT OPINION IN CELL BIOLOGY,6,6.4
CURRENT OPINION IN CHEMICAL BIOLOGY,6.9,7.2
CURRENT OPINION IN CHEMICAL ENGINEERING,8,7
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,3,3.7
CURRENT OPINION IN COLLOID and INTERFACE SCIENCE,7.9,7.5
CURRENT OPINION IN CRITICAL CARE,3.5,3.6
CURRENT OPINION IN ELECTROCHEMISTRY,7.9,7.8
CURRENT OPINION IN ENDOCRINOLOGY DIABETES AND OBESITY,2.6,3.1
CURRENT OPINION IN ENVIRONMENTAL SCIENCE and HEALTH,6.7,8.1
CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,6.6,8.7
CURRENT OPINION IN FOOD SCIENCE,8.9,8.8
CURRENT OPINION IN GASTROENTEROLOGY,2.6,3
CURRENT OPINION IN GENETICS and DEVELOPMENT,3.7,4.1
CURRENT OPINION IN GREEN AND SUSTAINABLE CHEMISTRY,9.3,8.6
CURRENT OPINION IN HEMATOLOGY,3.1,3.3
CURRENT OPINION IN HIV AND AIDS,4.5,3.8
CURRENT OPINION IN IMMUNOLOGY,6.6,6.5
CURRENT OPINION IN INFECTIOUS DISEASES,3.6,4.3
CURRENT OPINION IN INSECT SCIENCE,5.8,6.2
CURRENT OPINION IN LIPIDOLOGY,3.8,3.9
CURRENT OPINION IN MICROBIOLOGY,5.9,7.4
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,2.2,2.7
CURRENT OPINION IN NEUROBIOLOGY,4.8,5.7
CURRENT OPINION IN NEUROLOGY,4.1,5
CURRENT OPINION IN OBSTETRICS and GYNECOLOGY,2.2,2.3
CURRENT OPINION IN ONCOLOGY,2.8,3.1
CURRENT OPINION IN OPHTHALMOLOGY,3,3.6
CURRENT OPINION IN ORGAN TRANSPLANTATION,1.8,2
CURRENT OPINION IN OTOLARYNGOLOGY and HEAD AND NECK SURGERY,1.9,2.1
CURRENT OPINION IN PEDIATRICS,2.2,3.1
CURRENT OPINION IN PHARMACOLOGY,4,4.1
CURRENT OPINION IN PHYSIOLOGY,2.5,2.5
CURRENT OPINION IN PLANT BIOLOGY,8.3,8.6
CURRENT OPINION IN PSYCHIATRY,7.5,6.6
CURRENT OPINION IN PSYCHOLOGY,6.3,7.2
CURRENT OPINION IN PULMONARY MEDICINE,2.8,3.1
CURRENT OPINION IN RHEUMATOLOGY,5.2,5
CURRENT OPINION IN SOLID STATE and MATERIALS SCIENCE,12.2,13.3
CURRENT OPINION IN STRUCTURAL BIOLOGY,6.1,6
CURRENT OPINION IN SUPPORTIVE AND PALLIATIVE CARE,1.9,2.5
CURRENT OPINION IN SYSTEMS BIOLOGY,3.4,N/A
CURRENT OPINION IN TOXICOLOGY,6.1,N/A
CURRENT OPINION IN UROLOGY,2.1,2.2
CURRENT OPINION IN VIROLOGY,5.7,5.5
CURRENT OPTICS AND PHOTONICS,0.6,0.6
CURRENT ORGANIC CHEMISTRY,1.7,1.9
CURRENT ORGANIC SYNTHESIS,1.7,1.8
CURRENT ORGANOCATALYSIS,0.9,1.3
CURRENT ORTHOPAEDIC PRACTICE,0.2,0.3
CURRENT OSTEOPOROSIS REPORTS,4.2,5.3
CURRENT OTORHINOLARYNGOLOGY REPORTS,0.4,N/A
CURRENT PAIN AND HEADACHE REPORTS,3.2,3.9
CURRENT PEDIATRIC REVIEWS,1.3,3.2
CURRENT PEDIATRICS REPORTS,3.6,N/A
CURRENT PHARMACEUTICAL ANALYSIS,0.7,0.7
CURRENT PHARMACEUTICAL BIOTECHNOLOGY,2.2,2.4
CURRENT PHARMACEUTICAL DESIGN,2.6,3
CURRENT PHYSICAL MEDICINE AND REHABILITATION REPORTS,1,N/A
CURRENT PLANT BIOLOGY,5.4,4.7
CURRENT POLLUTION REPORTS,6.4,8.2
CURRENT PROBLEMS IN CANCER,2.5,2.7
CURRENT PROBLEMS IN CANCER: CASE REPORTS,0.2,0.2
CURRENT PROBLEMS IN CARDIOLOGY,3,3.5
CURRENT PROBLEMS IN DIAGNOSTIC RADIOLOGY,1.5,1.4
CURRENT PROBLEMS IN PEDIATRIC AND ADOLESCENT HEALTH CARE,3,3.1
CURRENT PROBLEMS IN SURGERY,2.3,3.8
CURRENT PROTEIN and PEPTIDE SCIENCE,1.9,3
CURRENT PROTEOMICS,0.5,0.3
CURRENT PSYCHIATRY REPORTS,5.5,7.7
CURRENT PSYCHIATRY RESEARCH AND REVIEWS,0.3,0.9
CURRENT PSYCHOLOGY,2.5,2.6
CURRENT PULMONOLOGY REPORTS,1.1,0.8
CURRENT RADIOLOGY REPORTS,1.3,N/A
CURRENT RADIOPHARMACEUTICALS,1.5,2.3
CURRENT RESEARCH IN BIOTECHNOLOGY,3.6,4
CURRENT RESEARCH IN ENVIRONMENTAL SUSTAINABILITY,3.7,4.3
CURRENT RESEARCH IN FOOD SCIENCE,6.2,6.2
CURRENT RESEARCH IN INSECT SCIENCE,2.2,2.2
CURRENT RESEARCH IN MICROBIAL SCIENCES,4.8,4.8
CURRENT RESEARCH IN NUTRITION AND FOOD SCIENCE,0.9,1.2
CURRENT RESEARCH IN PARASITOLOGY and VECTOR-BORNE DISEASES,1.7,1.7
CURRENT RESEARCH IN PHYSIOLOGY,2.1,2
CURRENT RESEARCH IN SOCIAL PSYCHOLOGY,0.4,0.2
CURRENT RESEARCH IN STRUCTURAL BIOLOGY,2.7,2.7
CURRENT RESEARCH IN TOXICOLOGY,2.9,2.9
CURRENT RESEARCH IN TRANSLATIONAL MEDICINE,3.2,3.2
CURRENT RESPIRATORY MEDICINE REVIEWS,0.2,0.2
CURRENT REVIEWS IN CLINICAL AND EXPERIMENTAL PHARMACOLOGY,1.3,1.3
CURRENT REVIEWS IN MUSCULOSKELETAL MEDICINE,2.9,4.3
CURRENT RHEUMATOLOGY REPORTS,5.7,5
CURRENT RHEUMATOLOGY REVIEWS,1.2,1.5
CURRENT SCIENCE,1.1,1.1
CURRENT SEXUAL HEALTH REPORTS,1,N/A
CURRENT SLEEP MEDICINE REPORTS,1.5,N/A
CURRENT SOCIOLOGY,1.9,2.5
CURRENT SPORTS MEDICINE REPORTS,1.7,2.2
CURRENT STEM CELL REPORTS,2.3,1.7
CURRENT STEM CELL RESEARCH and THERAPY,2.1,2.7
CURRENT SURGERY REPORTS,0.7,0.6
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL,1.6,1.8
CURRENT TOPICS IN MEDICINAL CHEMISTRY,2.9,3.1
CURRENT TOPICS IN NUTRACEUTICAL RESEARCH,0.4,0.4
CURRENT TRADITIONAL MEDICINE,0.6,0.7
CURRENT TRANSPLANTATION REPORTS,2.4,N/A
CURRENT TRAUMA REPORTS,1.5,1
CURRENT TREATMENT OPTIONS IN ALLERGY,1.9,N/A
CURRENT TREATMENT OPTIONS IN CARDIOVASCULAR MEDICINE,0.8,N/A
CURRENT TREATMENT OPTIONS IN INFECTIOUS DISEASES,2,1.4
CURRENT TREATMENT OPTIONS IN NEUROLOGY,1.8,2.4
CURRENT TREATMENT OPTIONS IN ONCOLOGY,3.8,4.5
CURRENT TREATMENT OPTIONS IN RHEUMATOLOGY,1.7,N/A
CURRENT TRENDS IN TRANSLATION TEACHING AND LEARNING E,0.5,0.4
CURRENT TROPICAL MEDICINE REPORTS,3.6,2.6
CURRENT UROLOGY,0.9,N/A
CURRENT UROLOGY REPORTS,2.5,2.7
CURRENT VASCULAR PHARMACOLOGY,2.8,3.5
CURRENT WOMENS HEALTH REVIEWS,0.3,0.4
CURRENT WRITING-TEXT AND RECEPTION IN SOUTHERN AFRICA,<0.1,0.1
CURRENT ZOOLOGY,1.6,1.9
CURRENTS IN BIBLICAL RESEARCH,0.6,1.1
CURRENTS IN PHARMACY TEACHING AND LEARNING,1.3,1.7
CURRICULUM INQUIRY,1.6,2
CURRICULUM JOURNAL,1.2,1.8
CURRICULUM MATTERS,0.1,0.3
CURRICULUM STUDIES IN HEALTH AND PHYSICAL EDUCATION,1.8,N/A
CURVED AND LAYERED STRUCTURES,1.1,1.2
CUSTOS E AGRONEGOCIO ON LINE,0.2,0.3
CUTANEOUS AND OCULAR TOXICOLOGY,1.6,1.7
CUTIS,2.1,1.7
CVIR ENDOVASCULAR,1.2,1.4
CYBERGEO-EUROPEAN JOURNAL OF GEOGRAPHY,0.3,0.4
CYBERNETICS AND INFORMATION TECHNOLOGIES,1.2,1.3
CYBERNETICS AND SYSTEMS,1.1,1.3
CYBERNETICS AND SYSTEMS ANALYSIS,0.5,0.5
CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING,4.2,6.6
CYBERPSYCHOLOGY-JOURNAL OF PSYCHOSOCIAL RESEARCH ON CYBERSPACE,2.4,3.3
CYBERSECURITY,3.9,4.9
CYBIUM,0.5,0.6
CYBORG AND BIONIC SYSTEMS,10.5,10.7
CYPRUS JOURNAL OF MEDICAL SCIENCES,0.1,0.2
CYPRUS TURKISH JOURNAL OF PSYCHIATRY AND PSYCHOLOGY,0.4,N/A
CYTA-JOURNAL OF FOOD,2,2.7
CYTOGENETIC AND GENOME RESEARCH,1.7,1.5
CYTOJOURNAL,2.5,2.1
CYTOKINE,3.7,3.5
CYTOKINE and GROWTH FACTOR REVIEWS,9.3,10.2
CYTOLOGIA,0.6,0.6
CYTOLOGY AND GENETICS,0.5,0.5
CYTOMETRY PART A,2.5,3.7
CYTOMETRY PART B-CLINICAL CYTOMETRY,2.3,2.5
CYTOPATHOLOGY,1.2,1.3
CYTOSKELETON,2.4,2.4
CYTOTECHNOLOGY,2,2.1
CYTOTHERAPY,3.7,4.3
CZECH JOURNAL OF ANIMAL SCIENCE,1.4,1.2
CZECH JOURNAL OF FOOD SCIENCES,1.2,1.4
CZECH JOURNAL OF GENETICS AND PLANT BREEDING,1.2,1
CZECH JOURNAL OF INTERNATIONAL RELATIONS,0.6,N/A
CZECH POLAR REPORTS,0.5,N/A
CZECHOSLOVAK MATHEMATICAL JOURNAL,0.4,0.4
CZECH-POLISH HISTORICAL AND PEDAGOGICAL JOURNAL,<0.1,0.1
DACOROMANIA,<0.1,<0.1
DADOS-REVISTA DE CIENCIAS SOCIAIS,0.5,0.6
DAEDALUS,2.1,2.1
DAIMON-REVISTA INTERNACIONAL DE FILOSOFIA,0.2,0.1
DALHOUSIE JOURNAL OF INTERDISCIPLINARY MANAGEMENT,0.2,0.2
DALHOUSIE REVIEW,<0.1,<0.1
DALTON TRANSACTIONS,3.5,3.3
DANCE CHRONICLE,0.1,0.2
DANCE MAGAZINE,0.1,0.1
DANCE RESEARCH,0.3,0.2
DANCE RESEARCH JOURNAL,0.4,0.6
DANISH MEDICAL JOURNAL,1,1.2
DANZA E RICERCA-LABORATORIO DI STUDI SCRITTURE VISIONI,0.1,0.1
DAO-A JOURNAL OF COMPARATIVE PHILOSOPHY,0.5,0.5
DAPHNIS-ZEITSCHRIFT FUR MITTLERE DEUTSCHE LITERATUR,0.2,0.2
DARU-JOURNAL OF PHARMACEUTICAL SCIENCES,2.5,4.2
DATA,2.2,2.4
DATA and KNOWLEDGE ENGINEERING,2.7,2.2
DATA and POLICY,1.8,1.9
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2.8,2.5
DATA IN BRIEF,1,1
DATA INTELLIGENCE,1.3,2.2
DATA MINING AND KNOWLEDGE DISCOVERY,2.8,5.3
DATA SCIENCE AND ENGINEERING,5.1,3.6
DATA SCIENCE IN FINANCE AND ECONOMICS,1.3,1.3
DATA TECHNOLOGIES AND APPLICATIONS,1.7,1.8
DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,3.4,4.2
DATA-CENTRIC ENGINEERING,2.4,3
DDS-DIE DEUTSCHE SCHULE,0.5,0.4
DE ARTE,0.1,0.3
DE JURE LAW JOURNAL,0.1,0.2
DE MEDIO AEVO,0.2,0.2
DEAD SEA DISCOVERIES,0.7,0.6
DEAFNESS and EDUCATION INTERNATIONAL,1.1,1.4
DEARQ,0.3,0.3
DEATH STUDIES,2.1,2.8
DEBATE UNIVERSITARIO,0.1,0.1
DEBATES,<0.1,<0.1
DEBATES EN SOCIOLOGIA,0.3,0.2
DEBATS-REVISTA DE CULTURA PODER I SOCIETAT,0.1,0.2
DECISION,1.5,1.4
DECISION ANALYSIS,2.5,2
DECISION SCIENCE LETTERS,1.4,N/A
DECISION SCIENCES,2.8,4.7
DECISION SCIENCES-JOURNAL OF INNOVATIVE EDUCATION,0.8,1.5
DECISION SUPPORT SYSTEMS,6.7,7.5
DECISIONS IN ECONOMICS AND FINANCE,1.4,1.1
DECISION-WASHINGTON,1,1.7
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,2.3,2.7
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,2.3,2.6
DEFENCE AND PEACE ECONOMICS,1.6,1.9
DEFENCE AND SECURITY ANALYSIS,0.8,0.9
DEFENCE SCIENCE JOURNAL,0.8,0.8
DEFENCE TECHNOLOGY,5,4.9
DEGENERATIVE NEUROLOGICAL AND NEUROMUSCULAR DISEASE,2.1,6.2
DEGRES-REVUE DE SYNTHESE A ORIENTATION SEMIOLOGIQUE,<0.1,<0.1
DELEUZE AND GUATTARI STUDIES,0.3,0.4
DELTION OF THE CHRISTIAN ARCHAEOLOGICAL SOCIETY,<0.1,0.1
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,2.2,3
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS EXTRA,1.4,2.1
DEMENTIA-INTERNATIONAL JOURNAL OF SOCIAL RESEARCH AND PRACTICE,2.4,2.6
DEMOCRACY and SECURITY,0.8,0.7
DEMOCRATIC THEORY-AN INTERDISCIPLINARY JOURNAL,0.8,1.5
DEMOCRATIZATION,3.7,4.2
DEMOGRAFIE,0.9,0.7
DEMOGRAPHIC RESEARCH,2.1,2.5
DEMOGRAPHY,3.6,4.7
DEMONSTRATIO MATHEMATICA,2,1.6
DEN OPEN,1.4,1.4
DENDROBIOLOGY,1.4,1.2
DENDROCHRONOLOGIA,2.7,2.9
DENKMALPFLEGE,<0.1,<0.1
DENTAL AND MEDICAL PROBLEMS,2.7,2.4
DENTAL CADMOS,0.2,0.2
DENTAL HYPOTHESES,0.6,0.6
DENTAL MATERIALS,4.6,5.5
DENTAL MATERIALS JOURNAL,1.9,2.4
DENTAL TRAUMATOLOGY,2.3,3.5
DENTISTRY JOURNAL,2.5,N/A
DENTOMAXILLOFACIAL RADIOLOGY,2.9,3.2
DENVER LAW REVIEW,0.4,0.6
DEPARTURES IN CRITICAL QUALITATIVE RESEARCH,0.4,0.3
DEPENDENCE MODELING,0.6,0.7
DEPOSITIONAL RECORD,1.9,2.3
DEPRESSION AND ANXIETY,4.7,7.2
DERECHO PENAL Y CRIMINOLOGIA,0.2,0.2
DERECHO PUCP,0.3,0.4
DERECHO Y CIENCIAS SOCIALES,0.3,0.1
DERECHOS Y LIBERTADES,0.3,0.2
DERMATITIS,4,3.9
DERMATOLOGIC CLINICS,2.2,2.8
DERMATOLOGIC SURGERY,2.5,2.7
DERMATOLOGIC THERAPY,3.7,3.3
DERMATOLOGICA SINICA,2.3,1.2
DERMATOLOGIE,0.8,0.9
DERMATOLOGIE IN BERUF UND UMWELT,1.5,0.9
DERMATOLOGY,3,3.9
DERMATOLOGY AND THERAPY,3.5,3.6
DERMATOLOGY PRACTICAL and CONCEPTUAL,2.5,2.4
DERMATOLOGY REPORTS,2.3,1.3
DERMATOLOGY RESEARCH AND PRACTICE,1.5,2.3
DERMATOPATHOLOGY,1.6,1.3
DERRIDA TODAY,0.3,0.4
DESAFIOS,0.5,0.6
DESALINATION,8.3,8.7
DESALINATION AND WATER TREATMENT,1,1
DESENVOLVIMENTO E MEIO AMBIENTE,0.4,0.5
DESIDOC JOURNAL OF LIBRARY and INFORMATION TECHNOLOGY,0.6,0.7
DESIGN AND CULTURE,0.7,1.4
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,0.9,1.4
DESIGN ISSUES,0.4,1
DESIGN JOURNAL,0.8,0.8
DESIGN SCIENCE,1.8,2.5
DESIGN STUDIES,3.2,4.1
DESIGNED MONOMERS AND POLYMERS,1.8,2.3
DESIGNIS,0.2,0.2
DESIGNS CODES AND CRYPTOGRAPHY,1.4,1.5
DETRITUS,1.2,1.3
DETUROPE-THE CENTRAL EUROPEAN JOURNAL OF REGIONAL DEVELOPMENT AND TOURISM,0.7,0.5
DEUTSCH ALS FREMDSPRACHE-ZEITSCHRIFT ZUR THEORIE UND PRAXIS DES FACHES DEUTSCH ALS FREMDSPRACHE,0.4,0.2
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,1.3,1.1
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,0.6,0.5
DEUTSCHE SPRACHE,0.1,0.1
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,0.4,0.3
DEUTSCHE ZEITSCHRIFT FUR AKUPUNKTUR,0.2,0.1
DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE,0.2,0.2
DEUTSCHES ARZTEBLATT INTERNATIONAL,6.5,7.8
DEVELOPING ECONOMIES,2.5,1.7
DEVELOPING WORLD BIOETHICS,0.9,1.6
DEVELOPMENT,3.7,5
DEVELOPMENT AND CHANGE,3,3.8
DEVELOPMENT AND PSYCHOPATHOLOGY,3.1,3.9
DEVELOPMENT GENES AND EVOLUTION,0.8,1.3
DEVELOPMENT GROWTH and DIFFERENTIATION,1.7,2.1
DEVELOPMENT IN PRACTICE,1,1.4
DEVELOPMENT POLICY REVIEW,2,1.9
DEVELOPMENT SOUTHERN AFRICA,1.3,1.7
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2.7,2.8
DEVELOPMENTAL BIOLOGY,2.5,2.6
DEVELOPMENTAL CELL,10.7,11.5
DEVELOPMENTAL COGNITIVE NEUROSCIENCE,4.6,6.2
DEVELOPMENTAL DYNAMICS,2,2.7
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,3.8,4.7
DEVELOPMENTAL NEUROBIOLOGY,2.7,3
DEVELOPMENTAL NEUROPSYCHOLOGY,1.6,2.1
DEVELOPMENTAL NEUROREHABILITATION,1.1,1.9
DEVELOPMENTAL NEUROSCIENCE,2.3,2.6
DEVELOPMENTAL PSYCHOBIOLOGY,1.8,2.2
